date,area,area_type,variant_name,specimens,percentage,specimens_7d_avg,percentage_7d_avg
2021-01-10,California,State,Alpha,0.0,0.0,7.0,1.313320825516
2021-01-10,California,State,Beta,0.0,0.0,0.0,0.0
2021-01-10,California,State,Gamma,0.0,0.0,0.0,0.0
2021-01-10,California,State,Omicron,1.0,0.63,1.14285714285,0.214419726615
2021-01-10,California,State,Total,159.0,100.0,533.0,100.0
2021-01-11,California,State,Total,583.0,100.0,429.0,100.0
2021-01-11,California,State,Gamma,0.0,0.0,0.0,0.0
2021-01-11,California,State,Other,292.0,50.09,194.57142857142,45.354645354645
2021-01-11,California,State,Omicron,2.0,0.34,1.28571428571,0.2997002997
2021-01-11,California,State,Epsilon,277.0,47.51,224.57142857142,52.347652347652
2021-01-11,California,State,Beta,1.0,0.17,0.14285714285,0.0333000333
2021-01-11,California,State,Delta,2.0,0.34,1.14285714285,0.2664002664
2021-01-11,California,State,Alpha,8.0,1.37,7.14285714285,1.665001665002
2021-01-11,California,State,Mu,1.0,0.17,0.14285714285,0.0333000333
2021-01-11,California,State,Lambda,0.0,0.0,0.0,0.0
2021-01-12,California,State,Total,568.0,100.0,388.57142857142,100.0
2021-01-12,California,State,Epsilon,306.0,53.87,205.0,52.757352941176
2021-01-12,California,State,Lambda,0.0,0.0,0.0,0.0
2021-01-12,California,State,Alpha,9.0,1.58,6.14285714285,1.580882352941
2021-01-12,California,State,Mu,0.0,0.0,0.14285714285,0.036764705882
2021-01-12,California,State,Gamma,1.0,0.18,0.14285714285,0.036764705882
2021-01-12,California,State,Omicron,0.0,0.0,1.28571428571,0.330882352941
2021-01-12,California,State,Other,250.0,44.01,174.28571428571,44.852941176471
2021-01-12,California,State,Beta,0.0,0.0,0.14285714285,0.036764705882
2021-01-12,California,State,Delta,2.0,0.35,1.42857142857,0.367647058824
2021-01-13,California,State,Total,588.0,100.0,416.28571428571,100.0
2021-01-13,California,State,Delta,1.0,0.17,1.14285714285,0.274536719286
2021-01-13,California,State,Lambda,0.0,0.0,0.0,0.0
2021-01-13,California,State,Omicron,2.0,0.34,1.28571428571,0.308853809197
2021-01-13,California,State,Epsilon,337.0,57.31,222.57142857142,53.466026080988
2021-01-13,California,State,Alpha,9.0,1.53,7.0,1.681537405628
2021-01-13,California,State,Beta,0.0,0.0,0.14285714285,0.034317089911
2021-01-13,California,State,Mu,0.0,0.0,0.14285714285,0.034317089911
2021-01-13,California,State,Other,239.0,40.65,183.85714285714,44.166094715168
2021-01-13,California,State,Gamma,0.0,0.0,0.14285714285,0.034317089911
2021-01-14,California,State,Delta,0.0,0.0,1.14285714285,0.244872972146
2021-01-14,California,State,Lambda,0.0,0.0,0.0,0.0
2021-01-14,California,State,Mu,0.0,0.0,0.14285714285,0.030609121518
2021-01-14,California,State,Gamma,0.0,0.0,0.14285714285,0.030609121518
2021-01-14,California,State,Alpha,14.0,2.04,6.85714285714,1.469237832874
2021-01-14,California,State,Epsilon,419.0,61.17,257.85714285714,55.249464340373
2021-01-14,California,State,Beta,0.0,0.0,0.14285714285,0.030609121518
2021-01-14,California,State,Other,252.0,36.79,199.42857142857,42.730333639425
2021-01-14,California,State,Total,685.0,100.0,466.71428571428,100.0
2021-01-14,California,State,Omicron,0.0,0.0,1.0,0.214263850627
2021-01-15,California,State,Mu,0.0,0.0,0.14285714285,0.027181299266
2021-01-15,California,State,Gamma,0.0,0.0,0.14285714285,0.027181299266
2021-01-15,California,State,Other,242.0,43.29,224.0,42.620277249253
2021-01-15,California,State,Total,559.0,100.0,525.57142857142,100.0
2021-01-15,California,State,Alpha,8.0,1.43,7.71428571428,1.46779016037
2021-01-15,California,State,Delta,2.0,0.36,1.14285714285,0.217450394129
2021-01-15,California,State,Lambda,0.0,0.0,0.0,0.0
2021-01-15,California,State,Omicron,0.0,0.0,0.85714285714,0.163087795597
2021-01-15,California,State,Epsilon,307.0,54.92,291.42857142857,55.449850502854
2021-01-15,California,State,Beta,0.0,0.0,0.14285714285,0.027181299266
2021-01-16,California,State,Lambda,0.0,0.0,0.0,0.0
2021-01-16,California,State,Epsilon,383.0,52.25,302.28571428571,54.606451612903
2021-01-16,California,State,Delta,0.0,0.0,1.0,0.18064516129
2021-01-16,California,State,Other,332.0,45.29,239.71428571428,43.303225806452
2021-01-16,California,State,Total,733.0,100.0,553.57142857142,100.0
2021-01-16,California,State,Omicron,1.0,0.14,0.85714285714,0.154838709677
2021-01-16,California,State,Gamma,0.0,0.0,0.14285714285,0.025806451613
2021-01-16,California,State,Mu,0.0,0.0,0.14285714285,0.025806451613
2021-01-16,California,State,Beta,0.0,0.0,0.14285714285,0.025806451613
2021-01-16,California,State,Alpha,17.0,2.32,9.28571428571,1.677419354839
2021-01-17,California,State,Total,316.0,100.0,576.0,100.0
2021-01-17,California,State,Gamma,1.0,0.32,0.28571428571,0.049603174603
2021-01-17,California,State,Delta,0.0,0.0,1.0,0.173611111111
2021-01-17,California,State,Beta,0.0,0.0,0.14285714285,0.024801587302
2021-01-17,California,State,Epsilon,182.0,57.59,315.85714285714,54.83630952381
2021-01-17,California,State,Alpha,3.0,0.95,9.71428571428,1.686507936508
2021-01-17,California,State,Mu,0.0,0.0,0.14285714285,0.024801587302
2021-01-17,California,State,Other,130.0,41.14,248.14285714285,43.080357142857
2021-01-17,California,State,Omicron,0.0,0.0,0.71428571428,0.124007936508
2021-01-17,California,State,Lambda,0.0,0.0,0.0,0.0
2021-01-18,California,State,Epsilon,442.0,56.59,339.42857142857,56.170212765957
2021-01-18,California,State,Alpha,13.0,1.66,10.42857142857,1.725768321513
2021-01-18,California,State,Delta,2.0,0.26,1.0,0.16548463357
2021-01-18,California,State,Omicron,0.0,0.0,0.42857142857,0.070921985816
2021-01-18,California,State,Other,324.0,41.49,252.71428571428,41.820330969267
2021-01-18,California,State,Gamma,0.0,0.0,0.28571428571,0.047281323877
2021-01-18,California,State,Lambda,0.0,0.0,0.0,0.0
2021-01-18,California,State,Mu,0.0,0.0,0.0,0.0
2021-01-18,California,State,Total,781.0,100.0,604.28571428571,100.0
2021-01-18,California,State,Beta,0.0,0.0,0.0,0.0
2021-01-19,California,State,Epsilon,689.0,55.56,394.14285714285,56.283149734802
2021-01-19,California,State,Other,528.0,42.58,292.42857142857,41.758465932273
2021-01-19,California,State,Total,1240.0,100.0,700.28571428571,100.0
2021-01-19,California,State,Lambda,0.0,0.0,0.0,0.0
2021-01-19,California,State,Alpha,20.0,1.61,12.0,1.71358629131
2021-01-19,California,State,Mu,0.0,0.0,0.0,0.0
2021-01-19,California,State,Omicron,2.0,0.16,0.71428571428,0.101999184007
2021-01-19,California,State,Delta,1.0,0.08,0.85714285714,0.122399020808
2021-01-19,California,State,Beta,0.0,0.0,0.0,0.0
2021-01-19,California,State,Gamma,0.0,0.0,0.14285714285,0.020399836801
2021-01-20,California,State,Other,79.0,33.19,269.57142857142,41.454305799649
2021-01-20,California,State,Alpha,14.0,5.88,12.71428571428,1.955184534271
2021-01-20,California,State,Beta,0.0,0.0,0.0,0.0
2021-01-20,California,State,Lambda,0.0,0.0,0.0,0.0
